PRODBR2;CAPITAL K;VALORCOM MP;PERTOTAL L;EELEC E
1815833;203251;1005960;9;17813
1893307;783111;1140574;33;18219
2825347;1325572;727521;38;64339
279715;280160;182834;7;11634
1789183;341319;1076731;39;37880
1995904;355767;1090712;23;75620
15974069;2772012;6495456;135;1917000
16222035;320773;6025655;129;43575
758933;1107038;341084;11;24310
249211;11868;25758;12;5595
1459463;70861;1008764;8;9297
259923;-27605;158050;5;4541
884110;300455;307739;17;26453
1315546;863779;612596;29;504240
1521117;623156;843662;7;16263
151732;34973;81722;11;1443
3764748;1501862;1917829;43;619896
3545135;177868;1231470;19;37920
521194;767935;176927;15;8911
1950876;1409956;591619;15;104280
125031;1525883;20687;19;27635
1571885;318691;1701446;17;78230
4291539;1112328;177525;87;1003887
512245;121103;95603;4;5202
1928747;904482;591402;14;24415
1342712;617208;1127005;10;43011
447462;78715;73912;8;902
2872420;1657746;806700;57;84612
244132;268074;130777;7;32341
2521212;891677;1962903;43;603905
825000;200694;225175;29;20900
2007594;34443;1461036;18;191571
1853846;965028;690334;30;64320
824752;1000485;678222;11;124240
1351929;149502;1087689;23;39239
1887742;484602;541611;56;23247
590328282;1539727;570998053;28;337374
784032;222167;607604;14;16842
912744;651067;303617;14;23650
77099;0;20000;2;5484
1240000;804353;427958;14;39246
2990936;128436;1222106;48;33804
1125042;797845;694342;38;39298
483449;92244;320260;21;185562
579456;2275371;195864;17;119330
596211;106453;205034;5;17866
118555;123466;60252;25;9658
1551216;567170;540652;27;146230
2742585;469159;795571;46;77867
201494;823147;125729;13;62376
497856;2025480;191896;10;75200
1370620;278613;246624;9;20233
322640;60943;0;2;16940
1840709;400394;995430;13;58161
2371131;147026;1025956;33;44934
513882;141958;225323;7;63000
1224412;231508;456706;24;29068
21664729;37798408;11822448;79;3872012
2245026;-5312;1104370;14;24769
2326869;365529;979275;38;427200
2657959;311552;1185872;28;291878
5445324;1742801;1626038;65;147602
1961984;768871;104460;65;89447
8239392;1451341;2400497;124;197907
1507805;853240;193700;25;55980
1112425;398614;280061;20;25044
14408858;4711377;10251058;142;192789
431127;105586;150307;8;6194
1540628;770319;562314;29;76302
570748;303259;81029;13;35702
10112087;2899068;4032140;136;415223
3553148;495711;686358;112;49023
1919950;682363;242978;20;48643
382221;264368;253094;6;12065
1670168;2300690;958882;12;112295
284038151;188428959;37684745;101;77113375
202472;29450;87645;8;10101
574048;1043540;244208;17;12056
412837;98708;198000;10;16412
13983707;1737359;10051089;28;19316
7157245;1596131;3433501;13;33222
952236;367648;246265;13;121985
10260113;4452835;7374000;50;248220
6442159;2635214;2292449;42;379868
9546770;12391763;3715432;76;1281259
26829005;48801877;8645224;145;982509
3595298;2805760;1382492;27;176873
3823042;1116500;4717;44;599725
6082274;1496224;5391119;27;297276
675676;214294;363800;5;11428
906165;524103;698233;7;47441
100464;3869702;35442;25;37167
596772;214320;266203;11;10200
1078078;266060;718198;18;130030
506065;790667;277316;14;56136
228878;48360;61997;8;5452
485823;107004;288841;10;22012
452705;504155;58780;9;114800
266812;1731379;243607;14;37433
230450;314144;73698;16;9180
3343988;79582;2112372;18;30630
201509;206901;36609;7;24292
592576;50838;115235;16;1370
6347933;1892973;2213476;13;70954
201509;206901;36609;7;24292
1496577;1590555;800089;36;2234
521911;2694167;0;54;68224
3616147;885621;1418308;222;63544
516593;31836;207962;9;9179
6032895;1749842;2135664;40;726081
402900;516742;257000;10;125557
355873;233366;174480;10;6048
732008;624520;318146;33;96000
1760073;834310;136301;80;95868
5437663;1670685;3534669;40;133974
344637;254741;7181;18;16193
789857;142000;499725;11;94368
927445;425243;343960;11;102312
344506;97711;9556;12;19128
2684562;444617;381592;48;334080
1113939;0;24;99;4333
7394808;129218;2634102;68;97724
286285;12860;38404;6;7910
3551758;4597502;775328;20;250800
1119361;111670;504823;15;15986
1530621;277933;641000;16;10740
5954244;239667;3602160;48;56890
739317;117401;17448;37;20872
199090;84904;4700;12;16146
408232;126239;19500;16;15196
229034;32319;55487;5;6320
142801;385218;172721;8;20382
4004811;10063328;367643;98;649440
2702487;231487;106905;64;30271
462341;411561;167180;7;3024
1013188;591700;404410;23;39900
508024;1514964;127041;3;32000
626082;68230;36935;10;16657
1151808;31600;1201741;16;15200
2203565;238204;1635555;14;90000
1965760;142911;1124850;15;29020
696756;294030;17500;20;34567
505342;239748;21750;26;16800
228975;341095;65780;6;18576
1016967;295496;238056;18;28062
1126594;114145;684336;12;63650
1851001;136406;532341;25;23552
88846;4324;77341;2;6230
1194981;320187;264018;39;78037
1300453;62713;930224;12;27419
3424363;719446;1588692;32;145688
